q1,q2,q3,q4,q5,q6,px_r,py_r,pz_r,joint
-3.6302067917591454e-06,3.0541361885819837e-06,1.5699497703813825,-8.648224348795354e-05,-1.5700144528766036,2.2926795515825276e-05,-0.31491345167160034,-0.8679747581481934,-1.779137134552002,5.0
-3.4515797938389594e-06,6.638468671557534e-07,1.569951681046143,1.3957281199684823e-05,-1.507205578676177,1.5442096294391396e-06,-0.32243674993515015,-0.8659329414367676,-1.7860114574432373,5.0
-8.719749899062008e-06,-7.421286604962183e-06,1.5699530305814169,1.3089848321332922e-05,-1.444404596730961,-1.399805535122686e-06,-0.33004030585289,-0.8645353317260742,-1.7932462692260742,5.0
-7.720077245091787e-06,-4.4340273527679696e-06,1.569955174229714,1.0918295088095197e-05,-1.3815901995873072,-1.4887323552834178e-06,-0.3378477990627289,-0.8641748428344727,-1.8009583950042725,5.0
-7.002642404937925e-06,1.2422756864559812e-06,1.5699470897416425,1.3804384631289989e-05,-1.3187983669892072,-1.0423432808044595e-05,-0.34554389119148254,-0.8643614649772644,-1.808615803718567,5.0
-8.925983962334956e-06,-2.5997546873179988e-06,1.5699524446439626,1.3054617312212126e-05,-1.2560043849768858,5.766048271918918e-06,-0.3533695340156555,-0.8651993274688721,-1.8162957429885864,5.0
-9.840268878878771e-06,-4.628999318272697e-06,1.569951268071218,1.3212076916566911e-05,-1.1931954340532058,-6.06131576489441e-06,-0.36113986372947693,-0.8665862679481506,-1.8235821723937988,5.0
-6.458016397442682e-06,1.9312149078479386e-06,1.5699590430881933,1.484577327163629e-05,-1.1303884427420452,-2.732014611574114e-06,-0.36875665187835693,-0.8686558604240417,-1.8307788372039795,5.0
-5.809879680228697e-06,3.215980475130225e-07,1.5699516399439752,7.3032014332090065e-06,-1.0675982965349626,-1.9761530631753243e-06,-0.37627121806144714,-0.8712542057037354,-1.8379460573196411,5.0
-7.950128510895292e-06,5.668448000184311e-06,1.5699483364760463,9.95482681182877e-06,-1.0048060420871852,-4.744926727304665e-06,-0.38375335931777954,-0.874786913394928,-1.8453094959259033,5.0
-1.0476377509610536e-05,-1.8309910390709758e-06,1.5699552356221194,1.0593596774638138e-05,-0.9420049486398759,2.8479168410436153e-06,-0.3911222815513611,-0.8789041042327881,-1.85267174243927,5.0
-6.8273444316924e-06,-8.618656765743011e-08,1.5699515111025544,5.9857543888798585e-06,-0.8792037629934762,3.4408658776732867e-06,-0.3981289267539978,-0.8836336135864258,-1.859586477279663,5.0
